Epoch, Training Loss, Validation Loss, Validation Error (%)
1, 1.7728, 1.8879, 63.69
2, 1.4104, 1.4711, 51.77
3, 1.1627, 1.1394, 41.19
4, 0.9890, 1.0898, 37.63
5, 0.8424, 1.1776, 41.82
6, 0.7445, 0.8948, 30.14
7, 0.6567, 0.7263, 25.16
8, 0.6004, 0.9120, 30.48
9, 0.5507, 0.7847, 26.42
10, 0.5226, 0.7514, 26.36
11, 0.4824, 0.6097, 20.67
12, 0.4644, 0.7090, 23.46
13, 0.4483, 0.9534, 30.66
14, 0.4360, 0.7863, 24.74
15, 0.4229, 0.7973, 25.69
16, 0.4085, 0.5386, 18.49
17, 0.3922, 0.5146, 17.53
18, 0.3822, 0.4784, 16.14
19, 0.3807, 0.6699, 21.45
20, 0.3717, 0.6396, 20.72
21, 0.3646, 0.9747, 28.55
22, 0.3558, 0.6869, 21.55
23, 0.3425, 0.6640, 21.11
24, 0.3469, 0.5676, 17.51
25, 0.3370, 0.6590, 21.12
26, 0.3346, 0.6751, 21.81
27, 0.3340, 0.5400, 17.87
28, 0.3204, 0.6242, 20.25
29, 0.3263, 0.6464, 19.97
30, 0.3112, 0.5776, 19.01
31, 0.3099, 0.9356, 27.21
32, 0.3063, 0.5345, 17.58
33, 0.3038, 0.4770, 15.77
34, 0.2981, 0.5569, 19.07
35, 0.2974, 0.6529, 20.29
36, 0.2982, 0.6963, 21.41
37, 0.2956, 0.4847, 15.31
38, 0.2903, 0.5452, 17.75
39, 0.2863, 0.5829, 18.86
40, 0.2857, 0.5174, 17.50
41, 0.2824, 0.6762, 20.12
42, 0.2835, 0.5611, 17.41
43, 0.2794, 0.6351, 19.76
44, 0.2778, 0.9135, 25.28
45, 0.2711, 0.5896, 17.16
46, 0.2738, 0.5846, 18.99
47, 0.2710, 0.5888, 18.39
48, 0.2668, 0.4788, 15.65
49, 0.2622, 0.5002, 16.12
50, 0.2651, 0.5668, 17.91
51, 0.1382, 0.2296, 7.72
52, 0.0971, 0.2240, 7.32
53, 0.0791, 0.2189, 7.19
54, 0.0689, 0.2205, 6.78
55, 0.0610, 0.2198, 6.88
56, 0.0550, 0.2371, 7.16
57, 0.0502, 0.2282, 7.03
58, 0.0458, 0.2353, 6.97
59, 0.0405, 0.2368, 6.95
60, 0.0365, 0.2377, 6.88
61, 0.0329, 0.2650, 7.30
62, 0.0303, 0.2580, 7.22
63, 0.0274, 0.2715, 7.41
64, 0.0263, 0.2696, 7.29
65, 0.0262, 0.3001, 7.68
66, 0.0252, 0.2777, 7.19
67, 0.0237, 0.2731, 7.03
68, 0.0223, 0.2784, 7.17
69, 0.0216, 0.2723, 7.46
70, 0.0204, 0.2661, 6.80
71, 0.0206, 0.2755, 6.99
72, 0.0200, 0.2689, 7.01
73, 0.0169, 0.2825, 7.14
74, 0.0178, 0.2926, 7.19
75, 0.0187, 0.3035, 7.46
76, 0.0190, 0.2853, 7.06
77, 0.0167, 0.2948, 7.16
78, 0.0198, 0.3228, 7.81
79, 0.0199, 0.3182, 7.85
80, 0.0196, 0.3036, 7.41
81, 0.0194, 0.3000, 7.14
82, 0.0189, 0.2942, 7.30
83, 0.0183, 0.2987, 6.87
84, 0.0208, 0.2878, 7.06
85, 0.0179, 0.2886, 7.10
