Epoch, Training Loss, Validation Loss, Validation Error (%)
1, 1.4818, 1.5171, 53.61
2, 0.9567, 1.6529, 50.14
3, 0.7556, 0.8641, 29.14
4, 0.6335, 0.7614, 26.91
5, 0.5456, 0.7577, 25.94
6, 0.5010, 0.8049, 25.56
7, 0.4638, 0.9326, 28.81
8, 0.4321, 0.5959, 20.10
9, 0.4045, 0.6839, 22.52
10, 0.3837, 0.5305, 17.78
11, 0.3639, 0.5616, 18.51
12, 0.3530, 0.5426, 18.04
13, 0.3349, 0.5235, 17.54
14, 0.3312, 0.6857, 22.55
15, 0.3195, 0.6429, 20.92
16, 0.3084, 0.5441, 18.39
17, 0.3040, 1.0918, 32.27
18, 0.2936, 0.5821, 18.55
19, 0.2940, 0.5061, 16.84
20, 0.2873, 0.5163, 16.96
21, 0.2847, 0.6084, 19.33
22, 0.2735, 0.4736, 15.77
23, 0.2713, 0.6923, 21.68
24, 0.2711, 0.7936, 23.96
25, 0.2625, 0.4994, 15.73
26, 0.2639, 0.4794, 15.88
27, 0.2600, 0.6568, 20.74
28, 0.2568, 0.4784, 15.51
29, 0.2584, 0.5938, 18.42
30, 0.2581, 0.8207, 23.79
31, 0.2499, 0.4314, 14.26
32, 0.2405, 0.6391, 20.26
33, 0.2387, 0.5321, 17.50
34, 0.2394, 0.4644, 15.13
35, 0.2444, 0.4250, 13.77
36, 0.2400, 0.6256, 19.33
37, 0.2371, 0.5296, 16.64
38, 0.2306, 0.5292, 17.27
39, 0.2286, 0.7364, 21.24
40, 0.2247, 0.7819, 23.80
41, 0.2342, 0.6612, 20.15
42, 0.2313, 0.4414, 14.52
43, 0.2238, 0.6000, 19.14
44, 0.2204, 0.8660, 25.66
45, 0.2191, 0.4716, 14.43
46, 0.2259, 0.5864, 17.72
47, 0.2267, 0.5227, 16.47
48, 0.2137, 0.5715, 17.43
49, 0.2251, 0.4133, 13.47
50, 0.2164, 0.4668, 14.99
51, 0.1069, 0.2223, 7.41
52, 0.0675, 0.2143, 6.93
53, 0.0562, 0.2093, 6.72
54, 0.0465, 0.2236, 6.67
55, 0.0387, 0.2159, 6.72
56, 0.0346, 0.2248, 6.76
57, 0.0278, 0.2327, 6.62
58, 0.0263, 0.2367, 6.73
59, 0.0242, 0.2398, 6.82
60, 0.0198, 0.2526, 6.77
61, 0.0202, 0.2432, 6.51
62, 0.0186, 0.2426, 6.83
63, 0.0156, 0.2421, 6.48
64, 0.0146, 0.2468, 6.34
65, 0.0133, 0.2553, 6.69
66, 0.0122, 0.2582, 6.61
67, 0.0122, 0.2491, 6.63
68, 0.0109, 0.2690, 6.93
69, 0.0101, 0.2558, 6.63
70, 0.0102, 0.2559, 6.57
71, 0.0098, 0.2790, 6.98
72, 0.0083, 0.2616, 6.45
73, 0.0077, 0.2556, 6.29
74, 0.0082, 0.2657, 6.69
75, 0.0114, 0.2692, 6.70
76, 0.0091, 0.2697, 6.63
77, 0.0077, 0.2668, 6.53
78, 0.0073, 0.2777, 6.79
79, 0.0076, 0.2787, 6.82
80, 0.0082, 0.2734, 6.73
81, 0.0081, 0.2987, 7.09
82, 0.0077, 0.2798, 6.97
83, 0.0081, 0.2854, 7.09
84, 0.0084, 0.2810, 6.82
85, 0.0101, 0.2785, 6.89
86, 0.0079, 0.2959, 7.03
87, 0.0077, 0.2746, 6.75
88, 0.0070, 0.2799, 6.94
89, 0.0064, 0.2977, 7.11
90, 0.0080, 0.2841, 6.94
91, 0.0077, 0.2855, 6.78
92, 0.0110, 0.3183, 7.62
93, 0.0123, 0.3043, 7.25
94, 0.0120, 0.2759, 6.72
95, 0.0091, 0.2820, 7.04
96, 0.0107, 0.2778, 6.95
97, 0.0100, 0.2920, 7.23
98, 0.0094, 0.2737, 6.88
99, 0.0097, 0.2920, 7.04
100, 0.0100, 0.3158, 7.41
101, 0.0078, 0.2668, 6.57
102, 0.0052, 0.2686, 6.50
103, 0.0041, 0.2501, 6.11
104, 0.0034, 0.2513, 6.33
105, 0.0034, 0.2599, 6.33
106, 0.0030, 0.2605, 6.31
107, 0.0025, 0.2592, 6.08
108, 0.0026, 0.2615, 6.17
109, 0.0026, 0.2623, 6.09
110, 0.0025, 0.2543, 6.27
111, 0.0026, 0.2594, 6.51
112, 0.0023, 0.2589, 6.11
113, 0.0023, 0.2519, 6.28
114, 0.0020, 0.2514, 6.05
115, 0.0020, 0.2613, 6.19
116, 0.0020, 0.2584, 6.16
117, 0.0021, 0.2612, 6.09
118, 0.0018, 0.2680, 6.21
119, 0.0020, 0.2614, 6.14
120, 0.0018, 0.2562, 6.07
121, 0.0018, 0.2557, 6.17
122, 0.0019, 0.2551, 6.07
123, 0.0017, 0.2556, 6.21
124, 0.0018, 0.2515, 6.07
125, 0.0015, 0.2534, 6.00
126, 0.0016, 0.2542, 5.97
127, 0.0015, 0.2611, 6.12
128, 0.0015, 0.2650, 5.93
