Epoch, Training Loss, Validation Loss, Validation Error (%)
1, 2.3119, 1.8975, 73.41
2, 1.7702, 1.6512, 61.28
3, 1.5167, 1.4382, 52.02
4, 1.3037, 1.2915, 46.69
5, 1.1195, 1.2516, 43.58
6, 0.9758, 1.3305, 42.17
7, 0.8786, 0.9034, 32.06
8, 0.7765, 0.8241, 29.12
9, 0.6851, 0.7171, 24.61
10, 0.6201, 0.6429, 22.26
11, 0.5603, 0.6514, 22.30
12, 0.5051, 0.6362, 21.80
13, 0.4740, 0.6477, 21.19
14, 0.4436, 0.6771, 22.97
15, 0.4217, 0.5268, 17.84
16, 0.3973, 0.4899, 16.42
17, 0.3730, 0.5057, 17.63
18, 0.3588, 0.4999, 16.56
19, 0.3401, 0.4943, 16.34
20, 0.3317, 0.4711, 16.04
21, 0.3219, 0.5810, 18.51
22, 0.3139, 0.4758, 15.92
23, 0.3035, 0.4746, 15.71
24, 0.2999, 0.4479, 15.00
25, 0.2881, 0.5041, 16.66
26, 0.2855, 0.4448, 15.11
27, 0.2785, 0.4317, 14.95
28, 0.2740, 0.4874, 16.56
29, 0.2650, 0.4635, 15.42
30, 0.2574, 0.4405, 14.76
31, 0.2502, 0.5811, 18.59
32, 0.2549, 0.4394, 13.77
33, 0.2514, 0.5112, 16.70
34, 0.2456, 0.4098, 13.55
35, 0.2452, 0.5184, 16.39
36, 0.2378, 0.3923, 13.11
37, 0.2328, 0.4631, 15.02
38, 0.2375, 0.4885, 15.71
39, 0.2279, 0.3985, 13.25
40, 0.2306, 0.5016, 16.15
41, 0.2284, 0.3947, 12.92
42, 0.2209, 0.4319, 13.78
43, 0.2295, 0.4849, 15.41
44, 0.2164, 0.5698, 17.34
45, 0.2145, 0.4771, 15.31
46, 0.2192, 0.3894, 13.02
47, 0.2102, 0.4849, 15.38
48, 0.2180, 0.5491, 17.10
49, 0.2125, 0.5271, 16.78
50, 0.2014, 0.4067, 13.14
51, 0.1048, 0.2078, 6.83
52, 0.0648, 0.1924, 6.17
53, 0.0526, 0.2016, 6.24
54, 0.0397, 0.1959, 5.97
55, 0.0353, 0.2001, 5.96
56, 0.0295, 0.2041, 5.93
57, 0.0263, 0.2165, 6.13
58, 0.0234, 0.2148, 6.04
59, 0.0204, 0.2177, 6.25
60, 0.0178, 0.2206, 6.11
61, 0.0174, 0.2220, 5.90
62, 0.0147, 0.2370, 6.09
63, 0.0128, 0.2203, 5.74
64, 0.0133, 0.2337, 5.94
65, 0.0124, 0.2242, 5.66
66, 0.0123, 0.2400, 5.95
67, 0.0117, 0.2481, 6.18
68, 0.0107, 0.2335, 5.96
69, 0.0101, 0.2314, 5.99
70, 0.0086, 0.2373, 5.82
71, 0.0105, 0.2467, 6.16
72, 0.0093, 0.2481, 5.97
73, 0.0091, 0.2490, 5.98
74, 0.0096, 0.2406, 5.91
75, 0.0099, 0.2519, 6.31
76, 0.0092, 0.2384, 5.85
77, 0.0077, 0.2392, 5.85
78, 0.0096, 0.2469, 6.02
79, 0.0088, 0.2454, 6.03
80, 0.0066, 0.2441, 5.76
81, 0.0074, 0.2485, 5.99
82, 0.0100, 0.2614, 6.45
83, 0.0119, 0.2492, 6.16
84, 0.0083, 0.2463, 6.18
85, 0.0085, 0.2567, 6.07
86, 0.0096, 0.2505, 6.17
87, 0.0093, 0.2579, 6.19
88, 0.0102, 0.2530, 6.12
89, 0.0099, 0.2571, 6.31
90, 0.0085, 0.2632, 5.98
91, 0.0084, 0.2533, 6.12
92, 0.0100, 0.2454, 6.00
93, 0.0082, 0.2681, 6.37
94, 0.0101, 0.2795, 6.56
95, 0.0110, 0.2471, 6.22
96, 0.0109, 0.2473, 6.08
97, 0.0103, 0.2481, 6.06
98, 0.0147, 0.2659, 6.47
99, 0.0126, 0.2592, 6.58
100, 0.0140, 0.2541, 6.52
101, 0.0077, 0.2334, 5.86
102, 0.0047, 0.2288, 5.90
103, 0.0051, 0.2136, 5.41
104, 0.0039, 0.2261, 5.58
105, 0.0030, 0.2319, 5.60
106, 0.0033, 0.2363, 5.64
107, 0.0028, 0.2237, 5.36
108, 0.0031, 0.2292, 5.54
109, 0.0028, 0.2316, 5.56
110, 0.0025, 0.2283, 5.52
111, 0.0026, 0.2276, 5.52
112, 0.0024, 0.2199, 5.26
113, 0.0025, 0.2314, 5.70
114, 0.0022, 0.2339, 5.49
115, 0.0023, 0.2232, 5.36
116, 0.0023, 0.2289, 5.34
117, 0.0021, 0.2340, 5.71
118, 0.0022, 0.2282, 5.47
119, 0.0019, 0.2248, 5.36
120, 0.0019, 0.2358, 5.39
121, 0.0020, 0.2253, 5.24
122, 0.0018, 0.2254, 5.42
123, 0.0020, 0.2252, 5.45
124, 0.0018, 0.2319, 5.54
125, 0.0018, 0.2238, 5.10
126, 0.0018, 0.2249, 5.38
127, 0.0018, 0.2387, 5.49
128, 0.0018, 0.2303, 5.33
129, 0.0018, 0.2323, 5.29
130, 0.0017, 0.2170, 5.12
131, 0.0018, 0.2333, 5.58
132, 0.0016, 0.2212, 5.19
133, 0.0016, 0.2286, 5.31
134, 0.0017, 0.2318, 5.11
135, 0.0015, 0.2351, 5.37
136, 0.0016, 0.2259, 5.20
137, 0.0014, 0.2390, 5.52
138, 0.0016, 0.2315, 5.33
139, 0.0015, 0.2282, 5.38
140, 0.0014, 0.2341, 5.39
141, 0.0016, 0.2307, 5.28
142, 0.0015, 0.2267, 5.23
143, 0.0015, 0.2344, 5.18
144, 0.0014, 0.2373, 5.32
145, 0.0015, 0.2293, 5.37
146, 0.0015, 0.2224, 5.09
147, 0.0015, 0.2396, 5.54
148, 0.0015, 0.2336, 5.03
149, 0.0015, 0.2398, 5.36
150, 0.0014, 0.2309, 5.50
