Epoch, Training Loss, Validation Loss, Validation Error (%)
1, 2.0245, 1.8721, 68.71
2, 1.8034, 1.6835, 60.15
3, 1.6025, 1.5018, 53.86
4, 1.4758, 1.4200, 50.50
5, 1.3841, 1.3385, 47.77
6, 1.3195, 1.2674, 45.45
7, 1.2515, 1.2322, 44.01
8, 1.2021, 1.1693, 41.73
9, 1.1423, 1.1552, 41.43
10, 1.1039, 1.1313, 40.00
11, 1.0640, 1.1065, 39.09
12, 1.0395, 1.0719, 38.43
13, 1.0020, 1.0518, 37.15
14, 0.9715, 1.0441, 36.81
15, 0.9431, 1.0446, 37.12
16, 0.9161, 1.0372, 36.77
17, 0.8875, 1.0502, 35.98
18, 0.8679, 1.0200, 35.58
19, 0.8417, 0.9980, 34.29
20, 0.8197, 1.0007, 34.27
21, 0.7904, 0.9897, 33.65
22, 0.7744, 0.9876, 33.23
23, 0.7544, 0.9828, 33.31
24, 0.7249, 0.9812, 33.43
25, 0.7025, 0.9907, 33.37
26, 0.6830, 0.9953, 32.43
27, 0.6609, 0.9866, 32.64
28, 0.6466, 1.0060, 33.11
29, 0.6202, 1.0045, 32.69
30, 0.6054, 1.0235, 32.63
31, 0.5908, 0.9937, 31.90
32, 0.5645, 1.0230, 32.70
33, 0.5438, 1.0378, 32.65
34, 0.5250, 1.0249, 31.96
35, 0.5021, 1.0326, 31.60
36, 0.4813, 1.0804, 32.08
37, 0.4703, 1.0573, 31.74
38, 0.4462, 1.0854, 31.86
39, 0.4328, 1.0821, 31.88
40, 0.4130, 1.0917, 31.47
41, 0.3993, 1.1413, 32.25
42, 0.3819, 1.1276, 31.66
43, 0.3687, 1.1606, 32.27
44, 0.3469, 1.1564, 31.74
45, 0.3351, 1.1822, 31.97
46, 0.3220, 1.1718, 31.22
47, 0.3020, 1.2085, 32.11
48, 0.2911, 1.2135, 31.56
49, 0.2795, 1.2437, 31.96
50, 0.2675, 1.2484, 31.88
51, 0.2534, 1.2645, 31.63
52, 0.2487, 1.2882, 31.84
53, 0.2365, 1.2958, 31.22
54, 0.2234, 1.3249, 31.62
55, 0.2146, 1.3073, 31.23
56, 0.2052, 1.3652, 32.31
57, 0.1983, 1.3706, 31.74
58, 0.1881, 1.3731, 31.59
59, 0.1760, 1.3928, 31.30
60, 0.1678, 1.4331, 31.84
61, 0.1643, 1.4255, 31.91
62, 0.1498, 1.4275, 31.45
63, 0.1511, 1.4660, 31.46
64, 0.1515, 1.4875, 31.65
65, 0.1429, 1.4905, 32.42
66, 0.1336, 1.5084, 31.11
67, 0.1370, 1.5061, 31.38
68, 0.1265, 1.5205, 31.32
69, 0.1198, 1.5453, 31.26
70, 0.1186, 1.5446, 31.42
71, 0.1137, 1.5731, 31.35
72, 0.1192, 1.5377, 31.03
