Epoch, Training Loss, Validation Loss, Validation Error (%)
1, 0.3366, 0.1213, 4.26
2, 0.0705, 0.1048, 3.44
3, 0.0230, 0.1111, 3.40
4, 0.0099, 0.1217, 3.31
5, 0.0086, 0.1503, 3.62
6, 0.0154, 0.1377, 3.38
7, 0.0120, 0.1616, 3.94
8, 0.0115, 0.1437, 3.63
9, 0.0149, 0.1949, 4.56
10, 0.0138, 0.1521, 3.48
11, 0.0055, 0.1477, 3.40
12, 0.0059, 0.1632, 3.30
13, 0.0034, 0.1349, 2.95
14, 0.0023, 0.1406, 2.93
15, 0.0024, 0.1533, 3.13
16, 0.0102, 0.2128, 4.54
17, 0.0223, 0.1752, 4.15
18, 0.0141, 0.1471, 3.29
19, 0.0038, 0.1391, 3.06
20, 0.0011, 0.1381, 2.98
21, 0.0005, 0.1358, 2.87
22, 0.0002, 0.1350, 2.87
23, 0.0001, 0.1320, 2.81
24, 0.0000, 0.1322, 2.73
25, 0.0000, 0.1325, 2.74
26, 0.0000, 0.1327, 2.71
27, 0.0000, 0.1330, 2.70
28, 0.0000, 0.1334, 2.68
29, 0.0000, 0.1338, 2.70
