Epoch, Training Loss, Validation Loss, Validation Error (%)
1, 1.9062, 1.7574, 65.53
2, 1.6258, 1.5418, 56.87
3, 1.4634, 1.3568, 49.82
4, 1.3080, 1.2676, 46.19
5, 1.2030, 1.1960, 42.98
6, 1.1312, 1.1414, 41.62
7, 1.0548, 1.1088, 39.35
8, 0.9970, 1.0178, 36.39
9, 0.9459, 1.0287, 36.70
10, 0.9050, 0.9701, 34.63
11, 0.8585, 0.9635, 34.96
12, 0.8186, 0.9163, 32.40
13, 0.7876, 0.9361, 33.23
14, 0.7574, 0.9245, 32.61
15, 0.7277, 0.8814, 30.42
16, 0.6950, 0.8932, 30.98
17, 0.6695, 0.8531, 29.26
18, 0.6450, 0.8893, 30.88
19, 0.6150, 0.8940, 30.72
20, 0.5813, 0.8295, 28.61
21, 0.5577, 0.8974, 30.05
22, 0.5417, 0.8481, 28.49
23, 0.5028, 0.8520, 28.29
24, 0.4783, 0.8759, 28.50
25, 0.4459, 0.8705, 28.45
26, 0.4171, 0.9280, 29.18
27, 0.4114, 0.9243, 29.39
28, 0.3896, 0.9182, 28.46
29, 0.3396, 0.9856, 28.36
30, 0.3356, 0.9700, 28.26
31, 0.3172, 0.9869, 28.90
32, 0.2907, 1.0014, 28.17
33, 0.2767, 1.0162, 28.79
34, 0.2380, 0.9984, 27.28
35, 0.2182, 1.0695, 28.44
36, 0.2044, 1.0826, 27.70
37, 0.1846, 1.0887, 26.92
38, 0.1776, 1.0996, 27.72
39, 0.1668, 1.1568, 27.45
40, 0.1591, 1.1723, 27.47
41, 0.1512, 1.2083, 27.84
42, 0.1372, 1.1882, 27.84
43, 0.1228, 1.1899, 26.81
44, 0.1096, 1.2587, 28.42
45, 0.1427, 1.2472, 28.48
46, 0.0997, 1.2823, 27.89
47, 0.0989, 1.2937, 28.06
48, 0.1007, 1.2880, 27.89
49, 0.0865, 1.3482, 28.12
50, 0.0882, 1.3190, 27.52
51, 0.0828, 1.3874, 28.05
52, 0.0780, 1.3747, 27.99
53, 0.0742, 1.3690, 27.38
54, 0.0725, 1.3999, 27.49
55, 0.0866, 1.3709, 27.36
56, 0.0821, 1.3821, 28.32
57, 0.0675, 1.3676, 26.96
58, 0.0472, 1.4637, 27.86
59, 0.0665, 1.4233, 27.31
60, 0.0855, 1.4127, 27.75
61, 0.0644, 1.4672, 27.95
62, 0.0659, 1.4202, 27.48
63, 0.0509, 1.4317, 27.21
64, 0.0389, 1.4483, 26.56
65, 0.0656, 1.4574, 27.68
66, 0.0660, 1.4356, 27.52
67, 0.0551, 1.4783, 28.34
68, 0.0561, 1.4557, 27.49
69, 0.0534, 1.5159, 27.83
70, 0.0552, 1.4905, 27.67
71, 0.0467, 1.4480, 26.55
72, 0.0381, 1.4887, 27.33
73, 0.0477, 1.4910, 26.91
74, 0.0606, 1.4742, 27.77
75, 0.0628, 1.4159, 26.70
76, 0.0381, 1.5175, 27.32
77, 0.0387, 1.4698, 26.64
78, 0.0335, 1.5981, 27.81
79, 0.0431, 1.5328, 27.45
80, 0.0527, 1.4762, 27.31
81, 0.0533, 1.4934, 27.50
82, 0.0518, 1.4889, 27.31
83, 0.0418, 1.4772, 26.48
84, 0.0541, 1.4788, 26.73
85, 0.0359, 1.5316, 27.42
86, 0.0362, 1.5680, 27.47
87, 0.0317, 1.5175, 26.81
88, 0.0369, 1.5192, 26.71
89, 0.0565, 1.5182, 27.29
90, 0.0521, 1.4922, 27.29
91, 0.0345, 1.5421, 27.59
92, 0.0253, 1.5542, 26.22
93, 0.0228, 1.5526, 27.01
94, 0.0239, 1.5626, 26.57
95, 0.0412, 1.5746, 27.52
96, 0.0507, 1.5634, 27.14
97, 0.0380, 1.5174, 26.77
98, 0.0421, 1.6097, 28.00
99, 0.0328, 1.5545, 26.79
100, 0.0361, 1.4865, 26.72
101, 0.0261, 1.5380, 26.23
102, 0.0300, 1.5793, 26.94
103, 0.0384, 1.5612, 26.76
104, 0.0403, 1.5503, 27.43
105, 0.0512, 1.5423, 27.31
106, 0.0258, 1.5333, 26.79
107, 0.0172, 1.6327, 27.58
108, 0.0230, 1.6104, 27.05
109, 0.0199, 1.5689, 26.16
110, 0.0351, 1.5537, 27.06
111, 0.0505, 1.5749, 28.41
112, 0.0572, 1.4531, 26.39
113, 0.0256, 1.5397, 26.26
114, 0.0080, 1.5281, 25.46
115, 0.0018, 1.5703, 25.40
116, 0.0020, 1.5898, 25.20
117, 0.0009, 1.5894, 24.41
118, 0.0002, 1.5989, 24.55
119, 0.0002, 1.6071, 24.44
120, 0.0002, 1.6146, 24.41
121, 0.0002, 1.6218, 24.48
122, 0.0001, 1.6280, 24.46
123, 0.0001, 1.6345, 24.52
124, 0.0001, 1.6411, 24.52
125, 0.0001, 1.6473, 24.52
126, 0.0001, 1.6535, 24.49
127, 0.0001, 1.6596, 24.48
128, 0.0001, 1.6654, 24.41
129, 0.0001, 1.6715, 24.43
130, 0.0001, 1.6775, 24.39
